owner,campaigns,lfp_campaigns
001nNP0YZzcPg1ApYELbIiELLV43,1,0
003BvXMSX2Wt4VcfNAYNN218F3t2,1,0
0076GebltThXIf9T3IXKIjf58IK2,15,2
007Vnaf0sMccU8w2wtJrpbMBXQM2,1,0
009s2bfJ0nRSIbpxOtzibWE62Db2,1,0
00CUcOGKdTPaILubTY12XAaLLzE3,1,0
00Dyji9yaDTyH8sb4NKqyig3qYA2,1,0
00NpFE6isxZoDE9Myt9Lcmj7TOx2,1,0
00Rz5H3y5CObCiRTRPcl9JH88Bl2,1,0
00SETDNPuRbgr7HOoddHb9TLp6a2,1,0
00SSg2XX6pfoVCEw0KfzEFklu0K3,2,0
00U1Z0jvL6grm7ai5NQk3U9grrq2,1,0
00UCwHBrAWVCmz6D99wXCLf8I9J2,1,0
00YX34BQyRbSE4GA27sSm89KpT43,2,0
00a2BKJIhJbEccm9vJTpniwKte93,1,0
00arrZKKEFSRb2fFRPkPKZ8xb0G3,2,0
00cvHVIliDNqp3weR5czu0edYKi1,1,0
00dH9byMW4NR07XczLjUWf0MjKv2,1,0
00eUjM9T6ReVLjsrCtFSivUoBuf2,3,0
00eWdupgiDewzHu4i0Gf2F3xEd33,3,0
00jkKs8qxAYwpBfxh6zh6wbYvEu2,1,0
00lZG6Ar4FboGz8ydOl6THEPjiH2,3,0
00mXDAtf53NrZhgMTvEVfIUGToq2,1,0
00ovz7ZG4BhV3ENG1SAAVaDm9mg1,1,0
00qPUFbwkcfUqAZrqRNuqrZi8tV2,1,0
00sEUr3kc6Xy2HDpO0yeCj5mJui1,1,0
00uKFaZRNbXdxEc6QuRLBjHWxKJ3,1,0
00ucnp2DyIgoWw2SpMtVzTELJM32,1,0
00xPp2DtMLeSIuhJlUOodkSEMna2,1,0
00y2k0O7GDV6ZL4KIIeOG8a8ZYw2,1,0
00yf1CpQR9WQ8uxvAtcPAOQwALW2,1,0
011quwEVNzMXfn7shDorj8pCmLr2,1,0
012TpLuY2Bas9KGvGB4O2k7WFDB2,1,0
014shaoK7yUeNfwyRtDC6aYYFzC2,1,0
019F0B3vT5efZYtMR8tJfuug7lt1,1,0
01CLXKhd69XNFEOAGyNOMY0U47w2,1,1
01EQ505JDqQYfasY8OzskH3hehg1,1,0
01G42uHoh5f1wcv7ksjm5sghHc93,1,0
01GZtMVYJBamIXzLhSiyCrwE2Zc2,37,0
01PGbiBy9GMGFQm8cAOyXuGmw1P2,3,0
01QcwidvmTbnHMWNkP2sgHEOso03,2,0
01SE1iqSuQO6dREo7aLxl0dOL593,1,0
01WhikdctTPGo4NzHmaGQIoTFwo2,1,0
01WlPu2CxzTbIJF71qurLAWS0WB3,10,0
01d3prNQaYOQ8GmCLoEgFqAMcQq1,1,0
01h9UYtzAHWVutHCy9dy43apstf1,3,0
01i4JGqwFwcmWs37scrdzSTFFos2,1,0
01ihpUz5DCThWNnDdJo25SLKg9F3,1,0
01l0SvE9Zodgv8qepkhxTFEpvmE2,1,0
01lnixh2VFM0q7cC06djtTOLhnE2,1,0
01o2FV8q67Y9ast1ZLF80gGkV103,1,0
01obtB8Fe3XH9qms9Yqj56VWpiQ2,10,0
01rY9kP6wORw6CFfzj7X2kTEmSY2,1,0
01sBCA5ZCeRdk3B1tmohXut4REP2,1,0
01shxqI5vlWlqPMFUpHy1vEE6dG2,2,0
01tovVidMCP8PXehG64EVAjyScn2,1,0
01vMCdmGD2TOPq66TteA8o3GHEx1,1,0
01vqN1GajkYGcvbk24dJXNyKPjX2,1,0
01xBrAk050PupYmuUHO5r9k78Er1,1,0
0200Y4oACvfSTwAVDMgo3KKWzPc2,1,0
020ay9OT8eNtGg1U4yQaS0QnUF52,109,7
0265e5L4xQcXEme3pxUkfPEEhYh1,1,0
027vAfSRQUX33j4Acbeau8FXsz63,1,1
02InXx2pObhJXkwjzXYIF5WI8zo1,1,0
02JMhdkT8Rb6rigaAs0AAZTD2Wn2,1,0
02Jtr604R5bGlsgDqiXRriivJr92,1,0
02KYQoLAIEYAZdejSy05S3lXdQJ3,2,0
02MoMVOOz0dxCo8vtfmlz112btM2,4,2
02NYQQ07XUMRXP29f1dFoeffagF3,2,0
02NylKR61AZebWBhBhUUqrtnSzh2,1,0
02QiJk0IHLgCFP6C6VtY9j14obH3,1,0
02QjPoYch5RBglqzeXhGJTnaMPx1,1,0
02Qjx4zHHNXrUELQR4GGrJWedLl2,1,0
02RRbU38xrPPgUYlc5nSHadGNkW2,1,0
02Ra5GOxrDV990thRA9yFSfUHLx2,1,0
02U0b1hsNrVJM0AsJdvWePX9d393,1,0
02USiM06X4WKz2OSMBN5DY3uZFR2,1,0
02WbAuNNnVcfQ53nILv0OKhslbx2,2,0
02XCvFTQQATV5pnGVB54Ofjvna03,1,1
02YbOQuWg6UXHdt43qb1pEMxWnC2,1,0
02ZSQuw3JCMBp54vCKvAEhVgfq22,1,0
02bgpM6iKZUgufgYC9r8dOoBUI92,1,0
02fAiYP9piWBdXegEGDJaOraivC3,1,0
02gEp7SDwfW0qHPRgS1Ry2g0yZA3,30,0
02huevpA6ZhAZ0pTMtcnkoz5Vol2,1,0
02rSmB2OdDVQeKEKdlN6ezTMPow2,1,0
02rlqO5FTiPR9NgcFUjfrq2aj5s1,1,0
02sqJAsrpSdPVljiMPJO0P22kRm1,2,0
02u65rzJEVO8I1xlRu0ca1Te5Vm1,1,0
02uN0VrYoxZ2zaJlpI2E6PopFS22,2,1
0300IUcRVte8GuQqvo0UB0SufBo2,1,0
032HNMYWwIeZz07dPVnBMIKjKdh1,12,1
033tNJbqlZhtmfU0XO8pr3lRtBr2,1,0
036Z4atP3eV4jxz2mcEkFMt3YVX2,6,0
036tpW03RmUrbLmAgILl3nGQLzt1,1,0
038A20Q2DGV41QdZlfGzR2PkSqx2,1,0
038So4TZ21gGIK04oV4IbtORB0L2,1,0
